Date,CO AQI Value,NO2 AQI Value,Ozone AQI Value,PM10 AQI Value,PM205 AQI Value,SO2 AQI Value,Target,Year
1/1/2010,14,44,19,0,81,41,Bronx,2010
1/2/2010,8,18,20,0,37,14,Bronx,2010
1/3/2010,6,16,21,0,42,13,Bronx,2010
1/4/2010,7,26,19,0,52,19,Bronx,2010
1/5/2010,8,32,19,0,50,21,Bronx,2010
1/6/2010,9,26,20,0,42,20,Bronx,2010
1/7/2010,10,29,19,0,43,19,Bronx,2010
1/8/2010,10,34,21,0,57,23,Bronx,2010
1/9/2010,11,25,26,0,45,19,Bronx,2010
1/10/2010,11,32,24,0,50,21,Bronx,2010
1/11/2010,13,41,20,0,60,31,Bronx,2010
1/12/2010,13,33,25,0,59,33,Bronx,2010
1/13/2010,6,40,20,0,57,39,Bronx,2010
1/14/2010,10,47,6,0,105,69,Bronx,2010
1/15/2010,10,52,19,0,74,52,Bronx,2010
1/16/2010,9,42,19,0,65,39,Bronx,2010
1/17/2010,13,46,26,0,80,37,Bronx,2010
1/18/2010,13,42,23,0,45,23,Bronx,2010
1/19/2010,13,60,3,0,80,36,Bronx,2010
1/20/2010,8,31,20,0,58,33,Bronx,2010
1/21/2010,10,49,20,0,61,41,Bronx,2010
1/22/2010,13,47,16,0,60,37,Bronx,2010
1/23/2010,11,51,14,0,65,36,Bronx,2010
1/24/2010,13,47,31,0,62,37,Bronx,2010
1/25/2010,10,41,31,0,49,19,Bronx,2010
1/26/2010,10,27,12,0,53,27,Bronx,2010
1/27/2010,5,32,14,0,59,29,Bronx,2010
1/28/2010,7,44,26,0,66,29,Bronx,2010
1/29/2010,3,25,25,0,38,16,Bronx,2010
1/30/2010,8,25,26,0,39,16,Bronx,2010
1/31/2010,10,39,27,0,61,26,Bronx,2010
2/1/2010,8,41,23,0,65,34,Bronx,2010
2/2/2010,9,42,11,0,59,34,Bronx,2010
2/3/2010,11,44,19,0,74,39,Bronx,2010
2/4/2010,9,39,29,0,52,20,Bronx,2010
2/5/2010,10,46,27,0,55,44,Bronx,2010
2/6/2010,9,25,29,0,41,13,Bronx,2010
2/7/2010,9,23,29,0,40,17,Bronx,2010
2/8/2010,10,29,27,0,40,20,Bronx,2010
2/9/2010,11,48,24,0,54,24,Bronx,2010
2/10/2010,10,42,26,0,62,17,Bronx,2010
2/11/2010,9,26,29,0,42,16,Bronx,2010
2/12/2010,9,39,31,0,50,23,Bronx,2010
2/13/2010,10,27,27,0,49,21,Bronx,2010
2/14/2010,10,30,28,0,45,21,Bronx,2010
2/15/2010,11,43,28,0,54,30,Bronx,2010
2/16/2010,17,37,19,0,64,37,Bronx,2010
2/17/2010,13,39,19,0,42,30,Bronx,2010
2/18/2010,13,31,28,0,36,20,Bronx,2010
2/19/2010,3,27,27,0,40,14,Bronx,2010
2/20/2010,3,27,31,0,39,17,Bronx,2010
2/21/2010,3,32,34,0,35,21,Bronx,2010
2/22/2010,7,42,23,0,52,24,Bronx,2010
2/23/2010,5,29,24,0,29,10,Bronx,2010
2/24/2010,10,32,17,0,37,20,Bronx,2010
2/25/2010,13,36,10,0,48,29,Bronx,2010
2/26/2010,6,31,15,0,45,29,Bronx,2010
2/27/2010,7,42,11,0,56,37,Bronx,2010
2/28/2010,8,49,22,0,80,49,Bronx,2010
3/1/2010,5,29,30,0,34,19,Bronx,2010
3/2/2010,7,45,29,0,42,44,Bronx,2010
3/3/2010,5,29,25,0,40,17,Bronx,2010
3/4/2010,7,28,31,0,34,23,Bronx,2010
3/5/2010,7,36,30,0,39,19,Bronx,2010
3/6/2010,7,32,35,0,48,20,Bronx,2010
3/7/2010,6,46,45,0,48,24,Bronx,2010
3/8/2010,6,42,43,0,49,30,Bronx,2010
3/9/2010,10,73,42,0,54,30,Bronx,2010
3/10/2010,14,86,20,0,60,46,Bronx,2010
3/11/2010,6,40,37,0,48,13,Bronx,2010
3/12/2010,5,26,39,0,35,9,Bronx,2010
3/13/2010,5,12,41,0,23,4,Bronx,2010
3/14/2010,6,21,41,0,18,6,Bronx,2010
3/15/2010,6,27,36,0,29,10,Bronx,2010
3/16/2010,10,65,37,0,38,23,Bronx,2010
3/17/2010,13,67,36,0,58,86,Bronx,2010
3/18/2010,13,73,39,0,60,62,Bronx,2010
3/19/2010,18,77,42,0,71,86,Bronx,2010
3/20/2010,11,68,47,0,66,20,Bronx,2010
